Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Deleted Date,,
‭02‬,NJ,DENZER & SCHAFER X-RAY CO.,,‭0200321‬,NJD046644407,HICKORY LANE ,BAYVILLE,08721,OCEAN,,,N,‭+39.909160‬,‭-074.170830‬ ,12/29/98,,
‭02‬,NJ,FEDERAL CREOSOTE,,‭0204097‬,NJ0001900281,VALERIE DRIVE & LOUISE DRIVE ,MANVILLE,08835,SOMERSET,,,N,‭+40.544440‬,‭-74.584160‬ ,06/18/14,,
‭02‬,NJ,"FLORENCE LAND RECONTOURING, INC., LANDFILL",,‭0200625‬,NJD980529143,CEDAR LANE EXT ,FLORENCE TOWNSHIP,08518,BURLINGTON,,,N,‭+40.069430‬,‭-074.773610‬ ,05/13/04,,
‭02‬,NJ,FORT DIX (LANDFILL SITE),,‭0201164‬,NJ2210020275,JULIUSTOWN-BROWNS MILLS RD ,PEMBERTON TOWNSHIP,08562,BURLINGTON,,,Y,‭+39.980100‬,‭-074.624400‬ ,09/24/12,,
‭02‬,NJ,FRIEDMAN PROPERTY,,‭0200741‬,NJD980532832,INTERSECTION OF RTS 537 & 539 ,UPPER FREEHOLD TWP,08514,MONMOUTH,,,N,‭+40.104800‬,‭-074.507700‬ ,03/07/86,,
‭02‬,NJ,GLEN RIDGE RADIUM SITE,,‭0200996‬,NJD980785646,CARTERET ST ,GLEN RIDGE,07028,ESSEX,,,N,‭+40.788180‬,‭-074.212500‬ ,09/02/09,,
‭02‬,NJ,GRAND STREET MERCURY,,‭0204030‬,NJ0001327733,722 GRAND STREET ,HOBOKEN,07030,HUDSON,,,N,‭+40.746110‬,‭-074.034440‬ ,09/18/07,,
‭02‬,NJ,HOPKINS FARM,,‭0200742‬,NJD980532840,ROUTE 539 ,PLUMSTEAD TOWNSHIP,08533,OCEAN,,,N,‭+40.088880‬,‭-074.487500‬ ,08/27/02,,
‭02‬,NJ,INDUSTRIAL LATEX CORP.,,‭0201073‬,NJD981178411,350 MT. PLEASANT AVENUE ,WALLINGTON BOROUGH,07057,BERGEN,,,N,‭+40.853600‬,‭-074.099100‬ ,04/21/03,,
‭02‬,NJ,JACKSON TOWNSHIP LANDFILL,,‭0200549‬,NJD980505283,LAKEHURST AVENUE ,JACKSON TOWNSHIP,08527,OCEAN,,,N,‭+40.063330‬,‭-074.348610‬ ,09/13/95,,
‭02‬,NJ,KRYSOWATY FARM,,‭0200670‬,NJD980529838,HACKENBERRY & 3 BRIDGES ,HILLSBOROUGH TOWNSHIP,08853,SOMERSET,,,N,‭+40.500280‬,‭-074.780000‬ ,02/22/89,,
‭02‬,NJ,LODI MUNICIPAL WELL,,‭0200825‬,NJD980769301,VARIOUS LOC IN BORO ,LODI,07644,BERGEN,,,N,‭+40.872910‬,‭-074.093610‬ ,12/29/98,,
‭02‬,NJ,M&T DELISA LANDFILL,,‭0200474‬,NJD085632164,RTS 35 & 66 ,ASBURY PARK,07755,MONMOUTH,,,N,‭+40.229160‬,‭-074.045280‬ ,03/21/91,,
‭02‬,NJ,MANNHEIM AVENUE DUMP,,‭0200773‬,NJD980654180,MANNHEIM AVENUE ,GALLOWAY TOWNSHIP,08213,ATLANTIC,,,N,‭+39.538880‬,‭-074.533330‬ ,08/27/07,,
‭02‬,NJ,MONROE TOWNSHIP LANDFILL,,‭0200570‬,NJD980505671,MATCHAPONIX AVE. BLOCK 148 LOT B7 ,MONROE TOWNSHIP,08520,MIDDLESEX,,,N,‭+40.361660‬,‭-074.401380‬ ,02/03/94,,
‭02‬,NJ,MONTCLAIR/WEST ORANGE RADIUM SITE,,‭0200997‬,NJD980785653,N/A ,MONTCLAIR/WEST ORANGE,07044,ESSEX,,,N,‭+40.792900‬,‭-074.225700‬ ,09/02/09,,
‭02‬,NJ,PEPE FIELD,,‭0200653‬,NJD980529598,WOOTTON & HILLSIDE ,BOONTON,07005,MORRIS,,,N,‭+40.912210‬,‭-074.411930‬ ,07/11/03,,
‭02‬,NJ,PIJAK FARM,,‭0200738‬,NJD980532808,FISCHER ROAD ,PLUMSTEAD TOWNSHIP,08533,OCEAN,,,N,‭+40.075550‬,‭-074.499430‬ ,03/03/97,,
‭02‬,NJ,POMONA OAKS RESIDENTIAL WELLS,,‭0200830‬,NJD980769350,ROUTES 575 & 30 ,GALLOWAY TOWNSHIP,08240,ATLANTIC,,,N,‭+39.477780‬,‭-074.569430‬ ,05/07/98,,
‭02‬,NJ,"RENORA, INC.",,‭0200429‬,NJD070415005,83 SOUTH MAIN ST ,EDISON TOWNSHIP,08837,MIDDLESEX,,,N,‭+40.519620‬,‭-074.358880‬ ,03/20/00,,
‭02‬,NJ,SAYREVILLE LANDFILL,,‭0200572‬,NJD980505754,JERNEES MILL RD ,SAYREVILLE,08872,MIDDLESEX,,,N,‭+40.445560‬,‭-074.358330‬ ,09/29/11,,
‭02‬,NJ,SOUTH BRUNSWICK LANDFILL,,‭0200724‬,NJD980530679,NEW ROAD ,SOUTH BRUNSWICK,08852,MIDDLESEX,,,N,‭+40.402780‬,‭-074.568050‬ ,02/27/98,,
‭02‬,NJ,SPENCE FARM,,‭0200739‬,NJD980532816,ROUTE 528 & MOOREHOUSE ROAD ,PLUMSTEAD TOWNSHIP,08533,OCEAN,,,N,‭+40.078900‬,‭-074.506100‬ ,03/03/97,,
‭02‬,NJ,TABERNACLE DRUM DUMP,,‭0200790‬,NJD980761357,"RD3, CARRANZA ROAD ",TABERNACLE TOWNSHIP,08088,BURLINGTON,,,N,‭+39.820000‬,‭-074.700830‬ ,05/08/08,,
‭02‬,NJ,UPPER DEERFIELD TOWNSHIP SANITARY LANDFILL,,‭0200794‬,NJD980761399,HUSTED STATION RD ,UPPER DEERFIELD TOWNSHIP,08302,CUMBERLAND,,,N,‭+39.494160‬,‭-075.184710‬ ,06/09/00,,
‭02‬,NJ,VINELAND STATE SCHOOL,,‭0200675‬,NJD980529887,EAST LANDIS AVE ,VINELAND,08360,CUMBERLAND,,,N,‭+39.486110‬,‭-074.991660‬ ,05/07/98,,
‭02‬,NJ,"W.R. GRACE & CO., INC./WAYNE INTERIM STORAGE SITE (USDOE)",,‭0202931‬,NJ1891837980,868 BLACK OAK RIDGE ROAD ,WAYNE TOWNSHIP,07470,PASSAIC,,,Y,‭+40.969010‬,‭-074.270320‬ ,09/30/12,,
‭02‬,NJ,WILSON FARM,,‭0200740‬,NJD980532824,HAWKINS ROAD ,PLUMSTEAD TOWNSHIP,08533,,,,N,‭+40.072210‬,‭-074.445260‬ ,09/08/09,,
‭02‬,NJ,WITCO CHEMICAL CORP. (OAKLAND PLANT),,‭0200316‬,NJD045653854,100 BAUER DR ,OAKLAND,07436,BERGEN,,,N,‭+41.003750‬,‭-074.243750‬ ,09/29/95,,
‭02‬,NY,"ACTION ANODIZING, PLATING, & POLISHING CORP.",,‭0202634‬,NYD072366453,33 DIXON AVE. ,COPIAGUE,11701,SUFFOLK,,,N,‭+40.684430‬,‭-073.406110‬ ,09/29/95,,
‭02‬,NY,ANCHOR CHEMICALS,,‭0201324‬,NYD001485226,500 WEST JOHN STREET ,HICKSVILLE,11801,NASSAU,,,N,‭+40.766380‬,‭-073.546380‬ ,09/30/99,,
‭02‬,NY,BATAVIA LANDFILL,,‭0201766‬,NYD980507693,GALLOWAY & KELSEY RD ,BATAVIA,14020,GENESEE,,,N,‭+43.019700‬,‭-078.256100‬ ,11/29/05,,
‭02‬,NY,BEC TRUCKING,,‭0202235‬,NYD980768675,STEWART RD ,VESTAL,13850,BROOME,,,N,‭+42.097630‬,‭-075.998330‬ ,10/14/92,,
‭02‬,NY,"BIOCLINICAL LABORATORIES, INC.",,‭0202236‬,NYD980768683,1585-I SMITHTOWN AVE ,BOHEMIA,11716,SUFFOLK,,,N,‭+40.783330‬,‭-073.110280‬ ,09/09/94,,
‭02‬,NY,C & J DISPOSAL LEASING CO. DUMP,,‭0202366‬,NYD981561954,ROUTE 12B ,HAMILTON,13346,MADISON,,,N,‭+42.863800‬,‭-075.568700‬ ,09/20/94,,
‭02‬,NY,CLOTHIER DISPOSAL,,‭0201192‬,NYD000511576,SOUTH GRANBY ROAD COUNTY ROAD 55 ,TOWN OF GRANBY,13069,OSWEGO,,,N,‭+43.247210‬,‭-076.412780‬ ,02/08/96,,
‭02‬,NY,CONKLIN DUMPS,,‭0202329‬,NYD981486947,ROUTE 7 ,CONKLIN,13748,BROOME,,,N,‭+42.050000‬,‭-075.818050‬ ,04/25/97,,
‭02‬,NY,CONSOLIDATED IRON AND METAL,,‭0204175‬,NY0002455756,EAST END OF WASHINGTON STREET ,NEWBURGH,12550,ORANGE,,,N,‭+41.498020‬,‭-74.005630‬ ,12/03/14,,
‭02‬,NY,HITEMAN LEATHER,,‭0202360‬,NYD981560915,173 SOUTH STREET ,WEST WINFIELD,13491,HERKIMER,,,N,‭+42.883330‬,‭-075.195830‬ ,02/13/11,,
‭02‬,NY,HOOKER (102ND STREET),,‭0201706‬,NYD980506810,102 ST ,NIAGARA FALLS,14304,NIAGARA,,,N,‭+43.070280‬,‭-078.942210‬ ,08/05/04,,
‭02‬,NY,HOOKER (HYDE PARK),,‭0201306‬,NYD000831644,HYDE PARK BLVD ,NIAGARA FALLS,14304,NIAGARA,,,N,‭+43.131110‬,‭-79.036660‬ ,10/23/13,,
‭02‬,NY,JACKSON STEEL,,‭0204218‬,NYD001344456,435 FIRST STREET ,MINEOLA/NORTH HEMPSTEAD,11501,NASSAU,,,N,‭+40.738800‬,‭-73.652690‬ ,09/26/15,,
‭02‬,NY,JONES SANITATION,,‭0202045‬,NYD980534556,CARDINAL RD ,HYDE PARK,12538,DUTCHESS,,,N,‭+41.795000‬,‭-073.902000‬ ,09/23/05,,
‭02‬,NY,KATONAH MUNICIPAL WELL,,‭0202269‬,NYD980780795,JAY STREET ,TOWN OF BEDFORD,10536,WESTCHESTER,,,N,‭+41.259160‬,‭-073.682910‬ ,03/20/00,,
‭02‬,NY,KENMARK TEXTILE CORP.,,‭0201614‬,NYD075784165,921 CONKLIN ST (P.O. BOX 298) ,FARMINGDALE,11735,SUFFOLK,,,N,‭+40.738400‬,‭-073.426400‬ ,05/01/95,,
‭02‬,NY,LOVE CANAL,,‭0201290‬,NYD000606947,E OF 97TH ST/W OF 99TH ST ,NIAGARA FALLS,14304,NIAGARA,,,N,‭+43.079710‬,‭-078.949450‬ ,09/30/04,,
‭02‬,NY,LUDLOW SAND & GRAVEL,,‭0201507‬,NYD013468939,HOLMAN CITY RD ,CLAYVILLE,13322,ONEIDA,,,N,‭+42.959160‬,‭-075.226380‬ ,12/02/13,,
‭02‬,NY,MARATHON BATTERY CORP.,,‭0201491‬,NYD010959757,KEMBLE AVENUE ,COLD SPRINGS,10516,PUTNAM,,,N,‭+41.416110‬,‭-073.954710‬ ,10/18/96,,
‭02‬,NY,NIAGARA COUNTY REFUSE,,‭0201266‬,NYD000514257,WITMER RD ,WHEATFIELD,14150,NIAGARA,,,N,‭+43.060550‬,‭-078.906110‬ ,07/30/04,,
‭02‬,NY,NORTH SEA MUNICIPAL LANDFILL,,‭0202198‬,NYD980762520,MAJORS PATH ,NORTH SEA,11968,SUFFOLK,,,N,‭+40.929160‬,‭-072.401380‬ ,09/27/05,,
‭02‬,NY,"PASLEY SOLVENTS & CHEMICALS, INC.",,‭0202422‬,NYD991292004,565 COMMERCIAL AVENUE ,HEMPSTEAD,11530,NASSAU,,,N,‭+40.729160‬,‭-073.612210‬ ,09/26/11,,
‭02‬,NY,PETER COOPER CORPORATION (MARKHAMS),,‭0202124‬,NYD980592547,BENTLY ROAD ,DAYTON,14138,CATTARAUGUS,,,N,‭+42.392890‬,‭-079.012570‬ ,09/20/10,,
‭02‬,NY,PFOHL BROTHERS LANDFILL,,‭0201751‬,NYD980507495,PFOHL RD ,CHEEKTOWAGA,14225,ERIE,,,N,‭+42.943880‬,‭-078.702500‬ ,09/22/08,,
‭02‬,NY,"RADIUM CHEMICAL CO., INC.",,‭0202850‬,NYD001667872,66-06 27TH STREET ,QUEENS,11377,QUEENS,,,N,‭+40.760000‬,‭-073.902500‬ ,03/24/95,,
‭02‬,NY,"SMS INSTRUMENTS, INC.",,‭0201325‬,NYD001533165,120 MARCUS BLVD ,DEER PARK,11729,SUFFOLK,,,N,‭+40.760000‬,‭-073.318490‬ ,09/13/10,,
‭02‬,NY,SUFFERN VILLAGE WELL FIELD,,‭0202277‬,NYD980780878,NORTH END OF RAMAPO AVENUE ,VILLAGE OF SUFFERN,10901,ROCKLAND,,,N,‭+41.116200‬,‭-074.159000‬ ,05/28/93,,
‭02‬,NY,SYOSSET LANDFILL,,‭0201187‬,NYD000511360,150 MILLER PLACE ,OYSTER BAY,11791,NASSAU,,,N,‭+40.798880‬,‭-073.509710‬ ,04/28/05,,
‭02‬,NY,"TRONIC PLATING CO., INC.",,‭0201346‬,NYD002059517,168 CENTRAL AVENUE ,FARMINGDALE,11735,SUFFOLK,,,N,‭+40.753800‬,‭-073.407700‬ ,10/15/01,,
‭02‬,NY,VESTAL WATER SUPPLY WELL 4-2,,‭0202152‬,NYD980652267,605 VESTAL PKWY ,VESTAL,13850,BROOME,,,N,‭+42.110280‬,‭-075.997210‬ ,09/30/99,,
‭02‬,NY,WARWICK LANDFILL,,‭0201695‬,NYD980506679,PENALUNA RD/OLD TUXEDO/DUTCH H ,WARWICK,10990,ORANGE,,,N,‭+41.238880‬,‭-074.270000‬ ,07/06/01,,
‭02‬,NY,WIDE BEACH DEVELOPMENT,,‭0202151‬,NYD980652259,WIDE BEACH RD ,BRANT,14027,ERIE,,,N,‭+42.586660‬,‭-079.128610‬ ,08/30/94,,
‭02‬,PR,BARCELONETA LANDFILL,,‭0202486‬,PRD980509129,"ROAD # 666,FLORIDA AFUERA WARD ",FLORIDA AFUERA,00617,,,,N,‭+18.410550‬,‭-066.547780‬ ,10/03/11,,
‭02‬,PR,FRONTERA CREEK,,‭0202550‬,PRD980640965,"RIO ABAJO NEAR ROUTE 3, KM 76.9 - 78.6 ",RIO ABAJO,00661,HUMACAO,,,N,‭+18.151950‬,‭-065.790280‬ ,12/29/98,,
‭02‬,PR,GE WIRING DEVICES,,‭0202464‬,PRD090282757,KM 67 CARRETERA NO 149 ,JUANA DIAZ,00665,,,,N,‭+18.059430‬,‭-066.508880‬ ,10/16/00,,
‭02‬,PR,NAVAL SECURITY GROUP ACTIVITY,,‭0202698‬,PR4170027383,BTW DE DIEGO EXSPRESSWAY & INGENIO RD. ,SABANA SECA,00749,,,,Y,‭+18.433060‬,‭-066.190280‬ ,10/07/98,,
‭02‬,PR,RCA DEL CARIBE,,‭0202466‬,PRD090370537,PR RD #2 KM 59.5 ,BARCELONETA,00617,,,,N,‭+18.430000‬,‭-066.580560‬ ,06/17/05,,
‭02‬,PR,V&M/ALBALADEJO,,‭0202869‬,PRD987366101,ROAD 160 ,ALMIRANTE NORTE WARD,00763,VEGA BAJA,,,N,‭+18.410000‬,‭-066.380000‬ ,10/22/01,,
‭02‬,VI,ISLAND CHEMICAL CORP/VIRGIN ISLANDS CHEMICAL CORP.,,‭0202651‬,VID980651095,MELVIN-EVANS HIGHWAY (ROUTE 66) ,CHRISTIANSTED,00820,ST. CROIX,,,N,‭+17.709720‬,‭-064.790830‬ ,10/16/09,,
‭03‬,DE,COKER'S SANITATION SERVICE LANDFILLS,,‭0300097‬,DED980704860,COUNTY RTE 152 ,CHESWOLD,19936,KENT,,,N,‭+39.227210‬,‭-75.611380‬ ,08/02/11,,
‭03‬,DE,NEW CASTLE SPILL,,‭0300069‬,DED058980442,900 WILMINGTON ROAD ,NEW CASTLE,19720,NEW CASTLE,,,N,‭+39.670280‬,‭-75.561660‬ ,06/12/96,,
‭03‬,DE,NEW CASTLE STEEL,,‭0300106‬,DED980705255,9TH & WASHINGTON STREET ,NEW CASTLE,19720,NEW CASTLE,,,N,‭+39.657780‬,‭-75.577760‬ ,03/17/89,,
‭03‬,DE,SEALAND LIMITED,,‭0300137‬,DED981035520,ROUTE 896 + 15 ,MIDDLETOWN,19709,NEW CASTLE,,,N,‭+39.512600‬,‭-75.710000‬ ,07/01/97,,
‭03‬,DE,SUSSEX COUNTY LANDFILL NO. 5,,‭0300089‬,DED980494637,"BETWEEN CNTY RD 494, CNTY RD 497, SH 24 ",LAUREL,19956,SUSSEX,,,N,‭+38.535000‬,‭-75.614160‬ ,09/28/01,,
‭03‬,DE,TYLER REFRIGERATION PIT,,‭0300111‬,DED980705545,GLENWOOD AVE ,SMYRNA,19977,KENT,,,N,‭+39.295280‬,‭-75.618880‬ ,03/29/04,,
‭03‬,DE,WILDCAT LANDFILL,,‭0300101‬,DED980704951,LEBANON RD ,DOVER,19901,KENT,,,N,‭+39.120830‬,‭-75.500000‬ ,03/14/03,,
‭03‬,MD,"CHEMICAL METALS INDUSTRIES, INC.",,‭0300289‬,MDD980555478,2001 & 2103 ANNAPOLIS RD ,BALTIMORE,21230,BALTIMORE CITY,,,N,‭+39.265410‬,‭-76.632500‬ ,12/30/82,,
‭03‬,MD,"MID-ATLANTIC WOOD PRESERVERS, INC.",,‭0300243‬,MDD064882889,P O BOX 58 SHIPLEY AVE ,HARMANS,21077,ANNE ARUNDEL,,,N,‭+39.163610‬,‭-76.698330‬ ,07/18/00,,
‭03‬,MD,MIDDLETOWN ROAD DUMP,,‭0300313‬,MDD980705099,MIDDLETOWN RD ,ANNAPOLIS,21401,ANNE ARUNDEL,,,N,‭+39.031000‬,‭-76.467140‬ ,04/18/88,,
‭03‬,MD,SOUTHERN MARYLAND WOOD TREATING,,‭0300305‬,MDD980704852,STATE ROUTE 235 ,HOLLYWOOD,20636,ST. MARY'S,,,N,‭+38.358900‬,‭-76.588200‬ ,04/05/05,,
‭03‬,PA,ALADDIN PLATING,,‭0301099‬,PAD075993378,1 LAYTON RD ,SCOTT TOWNSHIP,18411,LACKAWANNA,,,N,‭+41.491930‬,‭-75.662780‬ ,11/16/01,,
‭03‬,PA,AMBLER ASBESTOS PILES,,‭0300445‬,PAD000436436,LOCUST STREET ,AMBLER,19002,MONTGOMERY,,,N,‭+40.149710‬,‭-75.227210‬ ,12/27/96,,
‭03‬,PA,"AMP, INC. (GLEN ROCK FACILITY)",,‭0300911‬,PAD041421223,OLD RTE 11 - SUSQUEHANNA RD ,GLEN ROCK,17327,YORK,,,N,‭+39.821800‬,‭-76.694400‬ ,10/02/96,,
‭03‬,PA,AUSTIN AVENUE RADIATION SITE,,‭0304433‬,PAD987341716,133 AUSTIN AVE. ,DELAWARE COUNTY,19050,DELAWARE,,,N,‭+39.943050‬,‭-75.261940‬ ,04/18/02,,
‭03‬,PA,BERKLEY PRODUCTS CO. DUMP,,‭0301290‬,PAD980538649,RD 2 ,DENVER,17517,LANCASTER,,,N,‭+40.255550‬,‭-76.155280‬ ,03/19/07,,
‭03‬,PA,BERKS LANDFILL,,‭0300473‬,PAD000651810,RD 8348 ,SPRING TOWNSHIP,19608,BERKS,,,N,‭+40.291380‬,‭-76.031110‬ ,11/14/08,,
‭03‬,PA,BRODHEAD CREEK,,‭0301433‬,PAD980691760,S OF MAIN ST BRG ,STROUDSBURG,18360,MONROE,,,N,‭+40.989710‬,‭-75.186660‬ ,07/23/01,,
‭03‬,PA,BRUIN LAGOON,,‭0301546‬,PAD980712855,RTE 268 ,BRUIN BOROUGH,16022,BUTLER,,,N,‭+41.051110‬,‭-79.725000‬ ,09/18/97,,
‭03‬,PA,CRAIG FARM DRUM,,‭0301212‬,PAD980508527,630 Bruin Queenstown Road ,PARKER,16049,ARMSTRONG,,,N,‭+41.044600‬,‭-79.682500‬ ,09/30/13,,
‭03‬,PA,ENTERPRISE AVENUE,,‭0301408‬,PAD980552913,ENTERPRISE AVE ,PHILADELPHIA,19153,PHILADELPHIA,,,N,‭+39.885000‬,‭-75.212500‬ ,03/07/86,,
‭03‬,PA,HEBELKA AUTO SALVAGE YARD,,‭0301568‬,PAD980829329,UNOBTAINABLE ,WEISENBERG TOWNSHIP,18062,LEHIGH,,,N,‭+40.576660‬,‭-75.667780‬ ,09/20/99,,
‭03‬,PA,HRANICA LANDFILL,,‭0301218‬,PAD980508618,HRANICA DRIVE ,BUFFALO TOWNSHIP,16055,BUTLER,,,N,‭+40.677210‬,‭-79.749430‬ ,09/18/97,,
‭03‬,PA,LACKAWANNA REFUSE,,‭0301220‬,PAD980508667,SOUTH KEYSER AVENUE ,OLD FORGE,18518,LACKAWANNA,,,N,‭+41.373050‬,‭-75.755280‬ ,09/28/99,,
‭03‬,PA,LANSDOWNE RADIATION SITE,,‭0301596‬,PAD980830921,105/107 E STRATFORD AVE ,LANSDOWNE,19050,DELAWARE,,,N,‭+39.941300‬,‭-75.267100‬ ,09/10/91,,
‭03‬,PA,LEHIGH ELECTRIC & ENGINEERING CO.,,‭0301543‬,PAD980712731,BRIDGE & HOWARD STS ,OLD FORGE,18518,LACKAWANNA,,,N,‭+41.357530‬,‭-75.740680‬ ,03/07/86,,
‭03‬,PA,MCADOO ASSOCIATES,,‭0301540‬,PAD980712616,US 309 & OFF RAMP OF I 81 ,MCADOO BOROUGH,18237,SCHUYLKILL,,,N,‭+40.878330‬,‭-76.001380‬ ,12/13/01,,
‭03‬,PA,"METROPOLITAN MIRROR AND GLASS CO., INC.",,‭0303257‬,PAD982366957,INDUSTRIAL ROAD ,FRACKVILLE,17931,SCHUYLKILL,,,N,‭+40.775000‬,‭-76.221660‬ ,08/16/05,,
‭03‬,PA,MIDDLETOWN AIR FIELD,,‭0301295‬,PAD980538763,APPROX 1 MLE OFF RTE 230 ,MIDDLETOWN,17057,DAUPHIN,,,N,‭+40.176300‬,‭-76.717300‬ ,07/10/97,,
‭03‬,PA,MOYERS LANDFILL,,‭0301226‬,PAD980508766,RD 2 MOYER RD ,EAGLEVILLE,19426,MONTGOMERY,,,N,‭+40.155560‬,‭-75.433610‬ ,05/27/14,,
‭03‬,PA,PRESQUE ISLE,,‭0301229‬,PAD980508865,ROUTE 6N/PRESQUE ISLE ST PARK ,ERIE,16505,ERIE,,,N,‭+42.149700‬,‭-80.133300‬ ,02/13/89,,
‭03‬,PA,PUBLICKER INDUSTRIES INC.,,‭0303196‬,PAD981939200,3223 S DELAWARE AVENUE ,PHILADELPHIA,19148,PHILADELPHIA,,,N,‭+39.908050‬,‭-75.135280‬ ,11/01/00,,
‭03‬,PA,REESER'S LANDFILL,,‭0301566‬,PAD980829261,OLD RTE 22 ,UPPER MACUNGIE TWP,18051,LEHIGH,,,N,‭+40.579400‬,‭-75.656400‬ ,05/31/90,,
